134.122.116.239 - - [29/Nov/2021:01:21:28 +0000] "-" 400 -
216.218.206.69 - - [29/Nov/2021:01:29:19 +0000] "GET / HTTP/1.1" 200 11256
209.17.97.10 - - [29/Nov/2021:02:15:28 +0000] "GET / HTTP/1.0" 200 11236
18.222.90.140 - - [29/Nov/2021:04:07:45 +0000] "GET / HTTP/1.1" 200 11236
192.241.211.6 - - [29/Nov/2021:04:09:23 +0000] "GET /manager/html HTTP/1.1" 403 3419
205.185.118.227 - - [29/Nov/2021:05:19:42 +0000] "GET /manager/html HTTP/1.1" 403 3419
43.131.23.41 - - [29/Nov/2021:05:26:20 +0000] "GET / HTTP/1.1" 200 11256
146.158.45.150 - - [29/Nov/2021:06:43:25 +0000] "GET / HTTP/1.1" 200 11256
157.45.247.196 - - [29/Nov/2021:07:17:16 +0000] "GET /jenkins/ HTTP/1.1" 403 577
157.45.247.196 - - [29/Nov/2021:07:17:17 +0000] "GET /jenkins/login?from=%2Fjenkins%2F HTTP/1.1" 200 893
157.45.247.196 - - [29/Nov/2021:07:17:17 +0000] "GET /jenkins/static/d5030a36/css/simple-page.css HTTP/1.1" 200 1469
157.45.247.196 - - [29/Nov/2021:07:17:18 +0000] "GET /jenkins/static/d5030a36/css/simple-page.theme.css HTTP/1.1" 200 1076
157.45.247.196 - - [29/Nov/2021:07:17:18 +0000] "GET /jenkins/static/d5030a36/css/simple-page-variables.css HTTP/1.1" 200 229
157.45.247.196 - - [29/Nov/2021:07:17:18 +0000] "GET /jenkins/static/d5030a36/css/simple-page-forms.css HTTP/1.1" 200 656
157.45.247.196 - - [29/Nov/2021:07:17:18 +0000] "GET /jenkins/static/d5030a36/images/jenkins.svg HTTP/1.1" 200 16255
157.45.247.196 - - [29/Nov/2021:07:17:19 +0000] "GET /favicon.ico HTTP/1.1" 200 21630
157.45.247.196 - - [29/Nov/2021:07:18:46 +0000] "POST /jenkins/j_spring_security_check HTTP/1.1" 302 -
157.45.247.196 - - [29/Nov/2021:07:18:46 +0000] "GET /jenkins/ HTTP/1.1" 200 6596
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/css/color.css HTTP/1.1" 200 763
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/jsbundles/base-styles-v2.css HTTP/1.1" 200 18623
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/css/responsive-grid.css HTTP/1.1" 200 3560
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/container/assets/container.css HTTP/1.1" 200 2325
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/jsbundles/ui-refresh-overrides.css HTTP/1.1" 200 2554
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/menu/assets/skins/sam/menu.css HTTP/1.1" 200 1301
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/container/assets/skins/sam/container.css HTTP/1.1" 200 1277
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/prototype.js HTTP/1.1" 200 37875
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/behavior.js HTTP/1.1" 200 2404
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/adjuncts/d5030a36/org/kohsuke/stapler/bind.js HTTP/1.1" 200 936
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/yahoo/yahoo-min.js HTTP/1.1" 200 3038
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/event/event-min.js HTTP/1.1" 200 5172
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/dom/dom-min.js HTTP/1.1" 200 5739
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/animation/animation-min.js HTTP/1.1" 200 4877
157.45.247.196 - - [29/Nov/2021:07:18:47 +0000] "GET /jenkins/static/d5030a36/scripts/yui/dragdrop/dragdrop-min.js HTTP/1.1" 200 6974
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/container/container-min.js HTTP/1.1" 200 19888
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/connection/connection-min.js HTTP/1.1" 200 4442
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/datasource/datasource-min.js HTTP/1.1" 200 8268
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/autocomplete/autocomplete-min.js HTTP/1.1" 200 7287
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/menu/menu-min.js HTTP/1.1" 200 15941
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/element/element-min.js HTTP/1.1" 200 2717
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/storage/storage-min.js HTTP/1.1" 200 4048
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/button/button-min.js HTTP/1.1" 200 8420
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/polyfills.js HTTP/1.1" 200 426
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/hudson-behavior.js HTTP/1.1" 200 29602
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/sortable.js HTTP/1.1" 200 4613
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/scripts/yui/cookie/cookie-min.js HTTP/1.1" 200 1430
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/jsbundles/page-init.js HTTP/1.1" 200 913
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/jsbundles/sortable-drag-drop.js HTTP/1.1" 200 959
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/static/d5030a36/jsbundles/vendors.js HTTP/1.1" 200 52636
157.45.247.196 - - [29/Nov/2021:07:18:48 +0000] "GET /jenkins/adjuncts/d5030a36/org/kohsuke/stapler/jquery/jquery.full.js HTTP/1.1" 200 87960
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/lib/layout/breadcrumbs.css HTTP/1.1" 200 1072
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/lib/layout/breadcrumbs.js HTTP/1.1" 200 3271
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/images/jenkins-header-logo-v2.svg HTTP/1.1" 200 15179
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/jenkins/management/AdministrativeMonitorsDecorator/resources.js HTTP/1.1" 200 882
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/lib/form/link/link.js HTTP/1.1" 200 293
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/jenkins/management/AdministrativeMonitorsDecorator/resources.css HTTP/1.1" 200 1129
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/adjuncts/d5030a36/hudson/views/BuildButtonColumn/icon.js HTTP/1.1" 200 258
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/images/title.png HTTP/1.1" 200 2510
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/images/24x24/user.png HTTP/1.1" 200 1242
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/images/24x24/notepad.png HTTP/1.1" 200 955
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/plugin/lockable-resources/img/device.svg HTTP/1.1" 200 16371
157.45.247.196 - - [29/Nov/2021:07:18:49 +0000] "GET /jenkins/static/d5030a36/plugin/cloudbees-folder/images/24x24/folder.png HTTP/1.1" 200 1007
157.45.247.196 - - [29/Nov/2021:07:18:50 +0000] "GET /jenkins/static/d5030a36/images/24x24/search.png HTTP/1.1" 200 1309
157.45.247.196 - - [29/Nov/2021:07:18:50 +0000] "GET /jenkins/static/d5030a36/images/24x24/fingerprint.png HTTP/1.1" 200 739
157.45.247.196 - - [29/Nov/2021:07:18:50 +0000] "GET /jenkins/static/d5030a36/images/24x24/gear2.png HTTP/1.1" 200 1460
